,Rank,Name,Net worth,Age,Citizenship,Source,Industry
415,418,Tom Gores,$6.1 B,58,United States,Private equity,
416,418,Michael Herz,$6.1 B,79,Germany,Coffee,
417,418,Wolfgang Herz,$6.1 B,72,Germany,Coffee,
418,418,Michael Kadoorie,$6.1 B,81,Hong Kong,"Hotels, energy",
419,418,Sunil Mittal,$6.1 B,65,India,Telecom,
420,418,Zhou Qunfei,$6.1 B,53,Hong Kong,Smartphone screens,
421,425,Alexander Abramov,$6 B,64,Russia,"Steel, mining",
422,425,Rene Benko,$6 B,46,Austria,"Real estate, retail",
423,425,Neil Bluhm,$6 B,85,United States,Real estate,
424,425,Alain Bouchard,$6 B,74,Canada,Convinience stores,
425,425,Jay Chaudhry,$6 B,63,United States,Security software,
426,425,Gopikishan Damani,$6 B,65,India,"Retail, investments",
427,425,Sumet Jiaravanon,$6 B,88,Thailand,Diversified,
428,425,Joe Lewis,$6 B,86,United Kingdom,Investments,
429,425,Frank Lowy,$6 B,92,Australia,Investments,
430,425,Michael Milken,$6 B,76,United States,Investments,
431,425,David Steward,$6 B,71,United States,IT provider,
432,425,Les Wexner & family,$6 B,85,United States,Retail,
433,437,Cai Kui,$5.9 B,60,China,Real estate,
434,437,Jaran Chiaravanont,$5.9 B,93,Thailand,Diversified,
435,437,Andreas Halvorsen,$5.9 B,61,Norway,Hedge funds,
436,437,Antony Ressler,$5.9 B,62,United States,Finance,
437,437,Tsai Eng-meng,$5.9 B,66,Taiwan,"Food, beverages",
438,442,Josh Harris,$5.8 B,58,United States,Private equity,
439,442,Niels Peter Louis-Hansen,$5.8 B,75,Denmark,Medical devices,
440,442,Patrick Soon-Shiong,$5.8 B,70,United States,Pharmaceuticals,
441,445,Rinat Akhmetov,$5.7 B,56,Ukraine,"Steel, coal",
442,445,John Brown,$5.7 B,88,United States,Medical equipment,
443,445,Clive Calder,$5.7 B,76,United Kingdom,Record label,
444,445,Arthur Irving,$5.7 B,93,Canada,Oil,
445,445,Fredrik Lundberg,$5.7 B,71,Sweden,"Real estate, investments",
446,445,Thomas Schmidheiny,$5.7 B,77,Switzerland,Cement,
447,445,Helmut Sohmen,$5.7 B,83,Austria,Shipping,
448,445,Daniel Ziff,$5.7 B,51,United States,Investments,
449,445,Dirk Ziff,$5.7 B,59,United States,Investments,
450,445,Robert Ziff,$5.7 B,56,United States,Investments,
451,455,Maria Angelicoussis,$5.6 B,41,Greece,Shipping,
452,455,Ray Lee Hunt,$5.6 B,79,United States,"Oil, real estate",
453,455,Lai Meisong,$5.6 B,52,China,Package delivery,
454,455,Vikram Lal & family,$5.6 B,81,India,Motorcycles,
455,455,Ken Langone,$5.6 B,87,United States,Investments,
456,455,Li Ge,$5.6 B,56,United States,Pharmaceutical ingredients,
457,455,Karen Pritzker,$5.6 B,65,United States,"Hotels, investments",
458,455,Robert Rowling,$5.6 B,69,United States,"Hotels, investments",
459,455,Teddy Sagi,$5.6 B,51,Israel,Gambling software,
460,455,Seo Jung-jin,$5.6 B,65,South Korea,Biotech,
461,455,Wu Jianshu,$5.6 B,59,Hong Kong,Auto parts,
462,466,Micky Arison,$5.5 B,73,United States,Carnival Cruises,
463,466,James Chambers,$5.5 B,65,United States,"Media, automotive",
464,466,Pierre Chen,$5.5 B,66,Taiwan,Electronics,
465,466,John Collison,$5.5 B,32,Ireland,Payments software,
466,466,Patrick Collison,$5.5 B,34,Ireland,Payment software,
467,466,Archie Aldis Emmerson & family,$5.5 B,93,United States,"Timberland, lumber mills",
468,466,Piero Ferrari,$5.5 B,77,Italy,Automobiles,
469,466,Dan Friedkin,$5.5 B,58,United States,Toyota dealerships,
470,466,James Irving,$5.5 B,95,Canada,Diversified,
471,466,Jiang Weiping & family,$5.5 B,68,China,Chemicals,
472,466,Wolfgang Marguerre & family,$5.5 B,81,Germany,Pharmaceuticals,
473,466,Ludwig Merckle,$5.5 B,58,Germany,Pharmaceuticals,
474,466,Mitchell Rales,$5.5 B,66,United States,"Manufacturing, investments",
475,466,Katharine Rayner,$5.5 B,78,United States,"Media, automotive",
476,466,Jean Salata,$5.5 B,57,Chile,Finance,
477,466,Paul Singer,$5.5 B,78,United States,Hedge funds,
478,466,Sergio Stevanato & family,$5.5 B,80,Italy,Medical packaging,
479,466,Margaretta Taylor,$5.5 B,80,United States,"Media, automotive",
480,466,Richard White,$5.5 B,68,Australia,Software,
481,466,Zhao Yan,$5.5 B,56,China,Biotech,
482,486,Patrizio Bertelli,$5.4 B,77,Italy,Luxury goods,
483,486,Mahendra Choksi & family,$5.4 B,81,India,Paints,
484,486,Mat Ishbia,$5.4 B,43,United States,Mortgage lender,
485,486,Leo Koguan,$5.4 B,68,United States,IT provider,
486,486,Miao Hangen,$5.4 B,58,China,"Textiles, petrochemicals",
487,486,Michael Pieper,$5.4 B,77,Switzerland,Kitchen appliances,
488,486,Miuccia Prada,$5.4 B,73,Italy,Luxury goods,
489,486,Wolfgang Reimann,$5.4 B,70,Germany,Consumer goods,
490,486,Matthias Reimann-Andersen,$5.4 B,58,Germany,Consumer goods,
491,486,Stefan Reimann-Andersen,$5.4 B,59,Germany,Consumer goods,
492,486,Renate Reimann-Haas,$5.4 B,71,Germany,Consumer goods,
493,497,Todd Boehly,$5.3 B,49,United States,Finance,
494,497,Rick Caruso,$5.3 B,64,United States,Real estate,
495,497,Ibrahim Erdemoglu,$5.3 B,60,Turkey,Carpet,
496,497,Elizabeth Johnson,$5.3 B,59,United States,Fidelity,
497,497,Douglas Leone,$5.3 B,65,United States,Venture capital,
498,497,Prajogo Pangestu,$5.3 B,78,Indonesia,Petrochemicals,
499,497,Thomas Pritzker,$5.3 B,72,United States,"Hotels, investments",
500,497,Lynda Resnick,$5.3 B,80,United States,Agriculture,
501,497,Stewart Resnick,$5.3 B,86,United States,Agriculture,
502,497,Gary Rollins,$5.3 B,78,United States,Pest control,
503,497,Mark Walter,$5.3 B,62,United States,"Finance, asset management",
504,497,Ronald Wanek,$5.3 B,81,United States,Furniture,
505,497,Erich Wesjohann & family,$5.3 B,77,Germany,Poultry genetics,
506,497,M.A. Yusuff Ali,$5.3 B,67,India,Retail,
507,511,Alexandre Behring,$5.2 B,56,Brazil,Investments,
508,511,Cheng Xue,$5.2 B,53,China,Soy sauce,
509,511,Robert Faith,$5.2 B,59,United States,Real estate management,
510,511,Gao Dekang & family,$5.2 B,71,China,Apparel,
511,511,Micky Jagtiani,$5.2 B,71,India,Retail,
512,511,Ananda Krishnan,$5.2 B,85,Malaysia,"Telecoms, media, oil-services",
513,511,Barry Lam,$5.2 B,73,Taiwan,Electronics,
514,511,"Robert Rich, Jr.",$5.2 B,82,United States,Frozen foods,
515,511,Mark Scheinberg,$5.2 B,49,Canada,Online gambling,
516,511,Charles Simonyi,$5.2 B,74,United States,Microsoft,
517,511,Ty Warner,$5.2 B,78,United States,"Plush toys, real estate",
518,511,Sam Zell,$5.2 B,81,United States,"Real estate, private equity",
519,523,Wei Fang,$5.1 B,49,China,Steel,
520,523,Rekha Jhunjhunwala,$5.1 B,59,India,Investments,
521,523,Charles B. Johnson,$5.1 B,90,United States,Franklin Templeton,
522,523,Kwon Hyuk-bin,$5.1 B,49,South Korea,Online games,
523,523,Sami Mnaymneh,$5.1 B,61,United States,Private equity,
524,523,Kjell Inge Rokke,$5.1 B,64,Norway,"Shipping, seafood",
525,523,Tony Tamer,$5.1 B,65,United States,Private equity,
526,523,Tse Ping & family,$5.1 B,71,China,Pharmaceuticals,
527,523,Romesh T. Wadhwani,$5.1 B,75,United States,Software,
528,523,Hansjoerg Wyss,$5.1 B,88,Switzerland,Medical devices,
529,523,Denise York & family,$5.1 B,72,United States,San Francisco 49ers,
530,534,Ron Baron,$5 B,79,United States,Money management,
531,534,Robert Bass,$5 B,75,United States,"Oil, investments",
532,534,Dona Bertarelli,$5 B,55,Switzerland,Biotech and investments,
533,534,Alexander Gerko,$5 B,43,United Kingdom,Trading,
534,534,Martin Haefner,$5 B,69,Switzerland,"Software, investments",
535,534,"Robert Hale, Jr.",$5 B,56,United States,Telecom,
536,534,Viktor Kharitonin,$5 B,50,Russia,Pharmaceuticals,
537,534,Kim Beom-su,$5 B,57,South Korea,Online services,
538,534,Jane Lauder,$5 B,50,United States,Estée Lauder,
539,534,Michel Leclercq & family,$5 B,83,France,Sporting goods,
540,534,George Lucas,$5 B,78,United States,Star Wars,
541,534,Janice McNair,$5 B,86,United States,"Energy, sports",
542,534,Ugur Sahin,$5 B,57,Germany,Biotechnology,
543,534,Alexandra Schoerghuber & family,$5 B,64,Germany,Real estate,
544,534,Thomas Straumann,$5 B,59,Switzerland,Dental implants,
545,534,Murat Ulker,$5 B,64,Turkey,Food,
546,534,Chip Wilson,$5 B,66,Canada,Lululemon,
547,534,Zhu Yan & family,$5 B,N/A,China,Real estate,
548,552,Jim Davis & family,$4.9 B,79,United States,New Balance,
549,552,Murali Divi & family,$4.9 B,72,India,Pharmaceuticals,
550,552,Dagmar Dolby & family,$4.9 B,81,United States,Dolby Laboratories,
551,552,Marcos Galperin,$4.9 B,N/A,Argentina,E-commerce,
552,552,Tom Golisano,$4.9 B,81,United States,Payroll services,
553,552,Jonathan Gray,$4.9 B,53,United States,Investments,
554,552,Bidzina Ivanishvili,$4.9 B,67,Georgia,Investments,
555,552,Lim Hariyanto Wijaya Sarwono,$4.9 B,94,Indonesia,"Palm oil, nickel mining",
556,552,Rudolf Maag,$4.9 B,77,Switzerland,Medical devices,
557,552,Emanuele (Lino) Saputo & family,$4.9 B,86,Canada,Cheese,
558,552,Mark Shoen,$4.9 B,72,United States,U-Haul,
559,552,Dan Snyder,$4.9 B,58,United States,Washington Commanders,
560,552,Chairul Tanjung,$4.9 B,60,Indonesia,Diversified,
561,552,Kelcy Warren,$4.9 B,67,United States,Pipelines,
562,552,Zhang Tao,$4.9 B,50,China,E-commerce,
563,567,Michael Ashley,$4.8 B,58,United Kingdom,Sports retailing,
564,567,Tomasz Biernacki,$4.8 B,50,Poland,Supermarkets,
565,567,Bernard Broermann,$4.8 B,79,Germany,Hospitals,
566,567,Jimmy Haslam,$4.8 B,69,United States,"Gas stations, retail",
567,567,H. Fisk Johnson,$4.8 B,64,United States,Cleaning products,
568,567,S. Curtis Johnson,$4.8 B,67,United States,Cleaning products,
569,567,Helen Johnson-Leipold,$4.8 B,66,United States,Cleaning products,
570,567,Vinod Khosla,$4.8 B,68,United States,Venture capital,
571,567,Thai Lee,$4.8 B,64,United States,IT provider,
572,567,Winifred J. Marquart,$4.8 B,63,United States,Cleaning products,
573,567,Pankaj Patel,$4.8 B,70,India,Pharmaceuticals,
574,567,Horst Julius Pudwill,$4.8 B,78,Germany,Manufacturing,
575,567,Yu Yong,$4.8 B,62,China,Mining,
576,580,Maria Fernanda Amorim & family,$4.7 B,88,Portugal,"Energy, investments",
577,580,Gayle Benson,$4.7 B,76,United States,New Orleans Saints,
578,580,Jason Chang,$4.7 B,78,Singapore,Electronics,
579,580,Ali Erdemoglu,$4.7 B,63,Turkey,Carpet,
580,580,Andre Esteves,$4.7 B,54,Brazil,Banking,
581,580,Carlo Fidani,$4.7 B,68,Canada,Real estate,
582,580,Hong Ra-hee,$4.7 B,77,South Korea,Samsung,
583,580,Li Gaiteng,$4.7 B,50,China,Hair dryers,
584,580,Thomas Secunda,$4.7 B,68,United States,Bloomberg LP,
585,580,Zuowen Song,$4.7 B,76,China,"Aluminum, diversified",
586,580,Tim Sweeney,$4.7 B,52,United States,Video games,
587,591,Bert Beveridge,$4.6 B,61,United States,Vodka,
588,591,Mark Cuban,$4.6 B,64,United States,"Online media, Dallas Mavericks",
589,591,Charles Dolan & family,$4.6 B,96,United States,Cable television,
590,591,Jack Dorsey,$4.6 B,46,United States,"Twitter, Square",
591,591,Fan Hongwei,$4.6 B,56,China,Petrochemicals,
592,591,Vladimir Kim,$4.6 B,62,Kazakhstan,Mining,
593,591,"Andre Koo, Sr.",$4.6 B,55,Taiwan,Financial services,
594,591,Ronald Lauder,$4.6 B,79,United States,Estee Lauder,
595,591,Li Chunan,$4.6 B,54,China,Renewable energy,
596,591,Forrest Li,$4.6 B,45,Singapore,Gaming,
597,591,Doug Meijer & family,$4.6 B,69,United States,Supermarkets,
598,591,Hank Meijer & family,$4.6 B,71,United States,Supermarkets,
599,591,Mark Meijer & family,$4.6 B,65,United States,Supermarkets,
600,591,Issad Rebrab & family,$4.6 B,79,Algeria,Food,
601,591,Fred Smith,$4.6 B,78,United States,FedEx,
602,591,Barry Sternlicht,$4.6 B,62,United States,Private equity,
603,591,Maximilian Viessmann,$4.6 B,34,Germany,"Heating, cooling equipment",
604,591,Russ Weiner,$4.6 B,52,United States,Energy drinks,
605,591,Xue Min,$4.6 B,66,China,Healthcare,
606,611,Juan Domingo Beckmann Legorreta & family,$4.5 B,55,Mexico,Tequila,
607,611,Dietmar Hopp & family,$4.5 B,82,Germany,Software,
608,611,Jiang Bin,$4.5 B,56,China,Acoustic components,
609,611,Joseph Liemandt,$4.5 B,54,United States,Software,
610,611,Theo Mueller,$4.5 B,83,Germany,Dairy,
611,611,N.R. Narayana Murthy,$4.5 B,76,India,Software services,
612,611,Odd Reitan & family,$4.5 B,71,Norway,"Retail, real estate",
613,611,Marc Rowan,$4.5 B,60,United States,Private equity,
614,611,Hussain Sajwani,$4.5 B,70,United Arab Emirates,Real estate,
615,611,David Velez & family,$4.5 B,41,Colombia,Fintech,
616,611,Xu Jinfu,$4.5 B,59,China,Chemicals,
617,611,Samuel Yin,$4.5 B,72,Taiwan,Retail,
618,611,You Xiaoping,$4.5 B,65,China,"Chemicals, spandex",
619,624,Stéphane Bancel,$4.4 B,50,France,"Biotech, vaccines",
620,624,Margot Birmingham Perot,$4.4 B,89,United States,"Computer services, real estate",
621,624,Neal Blue & family,$4.4 B,88,United States,Defense,
622,624,Jim Davis,$4.4 B,63,United States,Staffing & recruiting,
623,624,Rafael Del Pino,$4.4 B,64,Spain,Construction,
624,624,Peter Grogg,$4.4 B,81,Switzerland,Biochemicals,
625,624,Christian Haub,$4.4 B,58,Germany,Retail,
626,624,Mangal Prabhat Lodha,$4.4 B,67,India,Real estate,
627,624,Jeffrey Lurie & family,$4.4 B,71,United States,Philadelphia Eagles,
628,624,Joe Mansueto,$4.4 B,66,United States,Investment research,
629,624,Qian Dongqi & family,$4.4 B,65,China,Home-cleaning robots,
630,624,Mikhail Shelkov,$4.4 B,54,Russia,Titanium,
631,636,Patrick Drahi,$4.3 B,59,France,Telecom,
632,636,Behdad Eghbali,$4.3 B,46,United States,Private equity,
633,636,Juan Carlos Escotet,$4.3 B,63,Venezuela,Banking,
634,636,Jose E. Feliciano,$4.3 B,49,United States,Private equity,
635,636,Hu Kaijun,$4.3 B,61,China,Pharmaceuticals,
636,636,Johnelle Hunt,$4.3 B,91,United States,Trucking,
637,636,Marian Ilitch,$4.3 B,90,United States,Little Caesars Pizza,
638,636,Daryl Katz,$4.3 B,61,Canada,Pharmacies,
639,636,Andrei Kozitsyn,$4.3 B,62,Russia,Metals,
640,636,Timur Kulibaev,$4.3 B,56,Kazakhstan,Banking,
641,636,Dinara Kulibaeva,$4.3 B,55,Kazakhstan,Banking,
642,636,Ian Livingstone,$4.3 B,60,United Kingdom,Real estate,
643,636,Richard Livingstone,$4.3 B,58,United Kingdom,Real estate,
644,636,Gwendolyn Sontheim Meyer,$4.3 B,61,United States,Cargill,
645,636,Jay Paul,$4.3 B,75,United States,Real estate,
646,636,Pham Nhat Vuong,$4.3 B,54,Vietnam,Diversified,
647,636,Jon Stryker,$4.3 B,64,United States,Medical equipment,
648,636,Daniel Tsai,$4.3 B,66,Taiwan,Finance,
649,636,Richard Tsai,$4.3 B,65,Taiwan,Finance,
650,636,Frank Wang,$4.3 B,42,China,Drones,
651,636,Wang Junshi & family,$4.3 B,74,China,Solar inverters,
652,636,Wang Wenjing,$4.3 B,58,China,Business software,
653,636,Herbert Wertheim,$4.3 B,83,United States,Investments,
654,659,Shari Arison,$4.2 B,65,Israel,Carnival Cruises,
655,659,Pyotr Aven,$4.2 B,68,Russia,"Oil, banking, telecom",
656,659,Chan Laiwa & family,$4.2 B,82,China,Real estate,
657,659,Chen Hua,$4.2 B,57,China,Real estate,
658,659,Thomas Hagen,$4.2 B,87,United States,Insurance,
659,659,"Rupert Johnson, Jr.",$4.2 B,82,United States,Franklin Templeton,
660,659,Dewi Kam,$4.2 B,72,Indonesia,Coal,
661,659,Min Kao & family,$4.2 B,74,United States,Navigation equipment,
662,659,Marc Ladreit de Lacharriere,$4.2 B,82,France,Finance,
663,659,Eric Lefkofsky,$4.2 B,53,United States,"Groupon, investments",
664,659,Lin Bin,$4.2 B,55,United States,Smartphones,
665,659,Lin Li,$4.2 B,59,China,Investments,
666,659,Michael Moritz,$4.2 B,68,United States,Venture capital,
667,659,Jean (Gigi) Pritzker,$4.2 B,60,United States,"Hotels, investments",
668,659,E. Joe Shoen,$4.2 B,73,United States,U-Haul,
669,659,Jeff Skoll,$4.2 B,58,United States,EBay,
670,659,Lynsi Snyder,$4.2 B,40,United States,In-N-Out Burger,
671,659,Djoko Susanto,$4.2 B,73,Indonesia,Supermarkets,
672,659,Tahir & family,$4.2 B,71,Indonesia,Diversified,
673,659,Peter Thiel,$4.2 B,55,United States,"Facebook, investments",
674,679,Andrej Babis,$4.1 B,68,Czech Republic,Agriculture,
675,679,Danielle Bellon & family,$4.1 B,83,France,Food services,
676,679,Hubert Burda,$4.1 B,83,Germany,Publishing,
677,679,Nick Caporella,$4.1 B,87,United States,Beverages,
678,679,John Catsimatidis,$4.1 B,74,United States,"Oil, real estate",
679,679,Scott Cook,$4.1 B,70,United States,Software,
680,679,Luca Garavoglia,$4.1 B,54,Italy,Spirits,
681,679,Antti Herlin,$4.1 B,66,Finland,"Elevators, escalators",
682,679,Hong Jie,$4.1 B,55,China,Paint,
683,679,"Jeremy Jacobs, Sr. & family",$4.1 B,83,United States,Food service,
684,679,Igor Kesaev,$4.1 B,56,Russia,"Tobacco distribution, retail",
685,679,Mary Alice Dorrance Malone,$4.1 B,73,United States,Campbell Soup,
686,679,Joao Moreira Salles,$4.1 B,61,Brazil,"Banking, minerals",
687,679,Walther Moreira Salles Junior,$4.1 B,66,Brazil,"Banking, minerals",
688,679,Arturo Moreno,$4.1 B,76,United States,"Billboards, Los Angeles Angels",
689,679,Peter Spuhler,$4.1 B,63,Switzerland,Train cars,
690,679,Donald Sterling,$4.1 B,88,United States,Real estate,
691,679,Kerry Stokes,$4.1 B,82,Australia,"Construction equipment, media",
692,679,Ken Xie,$4.1 B,60,United States,Cybersecurity,
693,679,Liangzhi Xie & family,$4.1 B,57,China,Biotech,
694,699,Sid Bass,$4 B,80,United States,"Oil, investments",
695,699,Ben Chestnut,$4 B,48,United States,Email marketing,
696,699,Elisabeth DeLuca & family,$4 B,75,United States,Subway,
697,699,Guangchang Guo,$4 B,56,China,Conglomerate,
698,699,Vinod Rai Gupta,$4 B,77,India,Electrical equipment,
699,699,John Henry,$4 B,73,United States,Sports,
700,699,Travis Kalanick,$4 B,46,United States,Uber,
701,699,Koon Poh Keong,$4 B,61,Malaysia,Aluminum,
702,699,Dan Kurzius,$4 B,51,United States,Email marketing,
703,699,Paul Lee,$4 B,65,United States,Battery separators,
704,699,Tobi Lutke,$4 B,42,Canada,E-commerce,
705,699,Gail Miller,$4 B,79,United States,Car dealerships,
706,699,Rajan Mittal,$4 B,63,India,Telecom,
707,699,Rakesh Mittal,$4 B,67,India,Telecom,
708,699,Isaac Perlmutter,$4 B,80,United States,Marvel comics,
709,699,"Bernard Saul, II.",$4 B,90,United States,"Banking, real estate",
710,699,Shaul Shani,$4 B,68,Israel,Telecom,
711,699,Steven Spielberg,$4 B,76,United States,Movies,
712,699,Jerzy Starak,$4 B,75,Poland,Pharmaceuticals,
713,699,Torbjorn Tornqvist,$4 B,69,Sweden,Oil trading,
714,699,Rufino Vigil Gonzalez,$4 B,74,Mexico,Steel,
715,699,Zhang Daocai,$4 B,73,China,Valves,
716,721,Juergen Blickle,$3.9 B,76,Germany,Auto parts,
717,721,"Austen Cargill, II.",$3.9 B,72,United States,Cargill,
718,721,"James Cargill, II.",$3.9 B,73,United States,Cargill,
719,721,Vanich Chaiyawan,$3.9 B,91,Thailand,"Insurance, beverages",
720,721,Dongsheng Chen,$3.9 B,65,China,Insurance,
721,721,Mong-Koo Chung,$3.9 B,85,South Korea,Hyundai,
722,721,Kenneth Dart,$3.9 B,67,Belize,Investments,
723,721,Giuseppe De'Longhi & family,$3.9 B,83,Italy,Coffee makers,
724,721,Guenther Fielmann & family,$3.9 B,83,Germany,Optometry,
725,721,W. Herbert Hunt,$3.9 B,94,United States,Oil,
726,721,James Irsay,$3.9 B,63,United States,Indianapolis Colts,
727,721,Somurai Jaruphnit,$3.9 B,N/A,Thailand,Diversified,
728,721,Marianne Liebmann,$3.9 B,69,United States,Cargill,
729,721,Jorge Moll Filho & family,$3.9 B,78,Brazil,Hospitals,
730,721,Fernando Roberto Moreira Salles,$3.9 B,76,Brazil,"Banking, minerals",
731,721,Pedro Moreira Salles,$3.9 B,63,Brazil,"Banking, minerals",
732,721,Gabe Newell,$3.9 B,60,United States,Videogames,
733,721,Alfred Oetker,$3.9 B,56,Germany,Consumer goods,
734,721,Carl Ferdinand Oetker,$3.9 B,50,Germany,Consumer goods,
735,721,Julia Oetker,$3.9 B,44,Germany,Consumer goods,
736,721,Ruan Hongliang & family,$3.9 B,62,China,Glass,
737,721,Mark Stevens,$3.9 B,63,United States,Venture capital,
738,721,Tsai Hong-tu,$3.9 B,70,Taiwan,Finance,
739,721,Nusli Wadia,$3.9 B,79,India,Consumer goods,
740,721,Wu Yiling,$3.9 B,73,China,Pharmaceuticals,
741,721,Yu Renrong,$3.9 B,57,China,Semiconductors,
742,721,Zhu Baoguo & family,$3.9 B,60,China,Pharmaceuticals,
743,748,Rahul Bhatia,$3.8 B,63,India,Aviation,
744,748,Francesco Gaetano Caltagirone,$3.8 B,80,Italy,"Cement, diversified",
745,748,Barry Diller,$3.8 B,81,United States,Online media,
746,748,Wesley Edens,$3.8 B,61,United States,Investments,
747,748,Stephen Feinberg,$3.8 B,63,United States,Private equity,
748,748,Rakesh Gangwal,$3.8 B,69,United States,Airline,
749,748,Joseph Grendys,$3.8 B,61,United States,Poultry processing,
750,748,Martha Ingram & family,$3.8 B,87,United States,"Book distribution, transportation",
751,748,Li Xiang,$3.8 B,41,China,Electric vehicles,
752,748,"H. Ross Perot, Jr.",$3.8 B,64,United States,Real estate,
753,748,Chandru Raheja,$3.8 B,82,India,Real estate,
754,748,Trevor Rees-Jones,$3.8 B,71,United States,Oil & gas,
755,748,Yasumitsu Shigeta,$3.8 B,58,Japan,Mobile phone retailer,
756,748,Su Qingcan,$3.8 B,54,China,Healthcare,
757,748,Tsai Cheng-ta,$3.8 B,73,Taiwan,Finance,
758,748,Steven Udvar-Hazy,$3.8 B,77,United States,Aircraft leasing,
759,748,Elizabeth Uihlein,$3.8 B,77,United States,Packaging materials,
760,748,Richard Uihlein,$3.8 B,77,United States,Packaging materials,
761,766,Hayes Barnard,$3.7 B,51,United States,Fintech,
762,766,William Berkley,$3.7 B,76,United States,Insurance,
763,766,Charles Cohen,$3.7 B,71,United States,Real estate,
764,766,Yakir Gabay,$3.7 B,56,Cyprus,Real estate,
765,766,Huang Li,$3.7 B,59,China,Imaging systems,
766,766,Brad Jacobs,$3.7 B,66,United States,Logistics,
767,766,Ji Qi,$3.7 B,56,China,"Hotels, motels",
768,766,Jason Jiang,$3.7 B,50,China,Advertising,
769,766,Jim Kavanaugh,$3.7 B,60,United States,IT provider,
770,766,Richard LeFrak & family,$3.7 B,77,United States,Real estate,
771,766,Mikhail Lomtadze,$3.7 B,47,Georgia,Fintech,
772,766,Tom Morris,$3.7 B,68,United Kingdom,Retail,
773,766,Shigenobu Nagamori,$3.7 B,78,Japan,Motors,
774,766,Daniel Och,$3.7 B,62,United States,Hedge funds,
775,766,Horst Paulmann & family,$3.7 B,88,Chile,Retail,
776,766,Anthony Pritzker,$3.7 B,62,United States,"Hotels, investments",
777,766,John Sall,$3.7 B,75,United States,Software,
778,766,Howard Schultz,$3.7 B,69,United States,Starbucks,
779,766,Richard Schulze,$3.7 B,82,United States,Best Buy,
780,766,Yitzhak Tshuva,$3.7 B,74,Israel,Real estate,
781,766,Wang Yanqing & family,$3.7 B,56,China,Electrical equipment,
782,787,Rajiv Bajaj,$3.6 B,56,India,Diversified,
783,787,Sanjiv Bajaj,$3.6 B,53,India,Diversified,
784,787,Leonid Boguslavsky,$3.6 B,71,Canada,Venture capital,
785,787,Jim Coulter,$3.6 B,63,United States,Private equity,
786,787,Nicolas D'Ieteren,$3.6 B,47,Belgium,"Auto parts, distribution",
787,787,Beatriz Davila de Santo Domingo,$3.6 B,84,Colombia,Beer,
788,787,Bob Gaglardi,$3.6 B,82,Canada,Hotels,
789,787,Jaime Gilinski Bacal,$3.6 B,65,Colombia,Banking,
790,787,Pansy Ho,$3.6 B,60,Hong Kong,Casinos,
791,787,Alan Howard,$3.6 B,59,United Kingdom,Hedge funds,
792,787,Huang Yi,$3.6 B,61,Hong Kong,Car dealerships,
793,787,Peter Kellogg,$3.6 B,80,United States,Investments,
794,787,Vyacheslav Kim,$3.6 B,53,Kazakhstan,Fintech,
795,787,Josh Kushner,$3.6 B,37,United States,Venture capital,
796,787,Edwin Leong,$3.6 B,71,Hong Kong,Real estate,
797,787,"Stephen Mandel, Jr.",$3.6 B,67,United States,Hedge funds,
798,787,Mohamed Mansour,$3.6 B,75,Egypt,Diversified,
799,787,Masahiro Miki,$3.6 B,67,Japan,Shoes,
800,787,Masahiro Noda,$3.6 B,84,Japan,Software,
801,787,Cliff Obrecht,$3.6 B,37,Australia,Software,
802,787,Melanie Perkins,$3.6 B,35,Australia,Software,
803,787,J.B. Pritzker,$3.6 B,58,United States,"Hotels, investments",
804,787,Juan Roig,$3.6 B,73,Spain,Supermarkets,
805,787,Jerry Speyer,$3.6 B,82,United States,Real estate,
806,787,Lawrence Stroll,$3.6 B,63,Canada,Fashion investments,
807,787,Tung Chee Chen,$3.6 B,80,Hong Kong,Shipping,
808,787,Wang Junlin,$3.6 B,60,China,Liquor,
809,787,Xia Zuoquan,$3.6 B,61,China,"Automobiles, batteries",
810,787,Zeng Fangqin,$3.6 B,57,China,Smartphone components,
811,787,Zhang Jian,$3.6 B,54,China,"Electric bikes, scooters",
812,818,Rocco Basilico,$3.5 B,33,Italy,Eyeglasses,
813,818,Maurizio Billi,$3.5 B,65,Brazil,Generic drugs,
814,818,Fashu Chen,$3.5 B,62,China,Investments,
815,818,Giuseppe Crippa & family,$3.5 B,87,Italy,Microchip testing,
816,818,Daniel D'Aniello,$3.5 B,76,United States,Private equity,
817,818,Claudio Del Vecchio,$3.5 B,66,Italy,Eyeglasses,
818,818,Clemente Del Vecchio,$3.5 B,18,Italy,Eyeglases,
819,818,Leonardo Maria Del Vecchio,$3.5 B,27,Italy,Eyeglasses,
820,818,Luca Del Vecchio,$3.5 B,21,Italy,Eyeglasses,
821,818,Marisa Del Vecchio,$3.5 B,64,Italy,Eyeglasses,
822,818,Paola Del Vecchio,$3.5 B,61,Italy,Eyeglasses,
823,818,Walter P.J. Droege,$3.5 B,70,Germany,Investing,
824,818,Fan Daidi,$3.5 B,57,China,Skincare,
825,818,Peter Gassner,$3.5 B,58,United States,Software,
826,818,Mikhail Gutseriev,$3.5 B,65,Russia,"Oil, coal, real estate",
827,818,Patrick Lee,$3.5 B,81,Hong Kong,Paper,
828,818,Leng Youbin,$3.5 B,54,China,Infant formula,
829,818,Daniel Loeb,$3.5 B,61,United States,Hedge funds,
830,818,Margarita Louis-Dreyfus & family,$3.5 B,60,Switzerland,Commodities,
